Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2025-04-27,Marseille,Brest,1,4,4,3,S Frappart
2025-04-26,Lyon,Rennes,0,0,7,2,M Bollengier
2025-05-04,Lyon,Lens,2,3,8,2,J Stinat
2025-05-04,Lille,Marseille,2,2,2,5,E Wattellier
2025-05-02,Nice,Reims,2,2,5,3,A Kherradji
2025-05-04,Brest,Montpellier,1,2,4,6,R Lissorgue
2025-05-03,Saint-Étienne,Monaco,0,0,6,5,J Brisard
2025-05-04,Nantes,Angers,2,3,4,6,T Léonard
2025-05-03,Toulouse,Rennes,3,2,6,5,B Millot
2025-05-03,Strasbourg,Paris SG,1,2,6,2,H Ben El Hadj
2025-05-04,Auxerre,Le Havre,2,1,0,9,J Pignard
2025-05-10,Reims,Saint-Étienne,1,0,4,5,E Wattellier
2025-05-10,Auxerre,Nantes,3,1,7,3,M Bollengier
2025-05-10,Angers,Strasbourg,2,2,2,6,C Turpin
2025-05-10,Le Havre,Marseille,2,2,2,9,W Delajod
2025-05-10,Rennes,Nice,1,1,1,5,J Stinat
2025-05-10,Montpellier,Paris SG,1,1,5,4,M Vernice
2025-05-10,Toulouse,Lens,2,5,2,1,B Dechepy
2025-05-10,Brest,Lille,1,1,3,7,T Léonard
2025-05-10,Monaco,Lyon,2,4,3,5,B Bastien
2025-05-17,Marseille,Rennes,3,3,5,5,J Pignard
2025-05-17,Lyon,Angers,1,3,8,8,S Frappart
2025-05-17,Nice,Brest,0,5,5,2,H Ben El Hadj
2025-05-17,Saint-Étienne,Toulouse,3,2,7,6,T Léonard
2025-05-17,Lille,Reims,0,1,10,3,W Delajod
2025-05-17,Strasbourg,Le Havre,5,1,4,3,J Brisard
2025-05-17,Nantes,Montpellier,3,1,7,2,C Turpin
2025-05-17,Lens,Monaco,1,2,5,4,F Letexier
2025-05-17,Paris SG,Auxerre,1,2,5,2,A Kherradji
2026-09-12,Strasbourg,Monaco,1,1,2,7,E Wattellier
2026-09-11,Rennes,Marseille,1,4,3,5,J Stinat
2026-09-12,Paris FC,Lyon,2,1,4,3,J Brisard
2026-09-12,Lorient,Toulouse,1,0,4,3,A Petit
2026-09-12,Le Havre,Angers,1,1,4,6,R Buquet
2026-09-12,Auxerre,Nice,1,1,3,8,F Letexier
2026-09-06,Troyes,Strasbourg,1,1,11,0,G Paradis
2026-09-03,Toulouse,Lille,1,0,6,2,M Vernice
2026-09-04,Paris SG,Monaco,1,1,6,0,J Brisard
2026-09-05,Nice,Le Mans,2,2,5,2,J Pignard
2026-09-06,Marseille,Paris FC,0,2,5,4,C Turpin
2026-09-04,Lyon,Auxerre,2,2,9,5,R Buquet
2026-09-05,Lens,Lorient,5,1,8,0,E Wattellier
2026-09-05,Le Havre,Brest,2,1,5,5,M Bollengier
2026-09-06,Angers,Rennes,1,1,12,6,G Kubler
2026-08-28,Lille,Paris SG,2,1,0,5,E Wattellier
2026-08-29,Strasbourg,Lens,2,2,3,6,B Dechepy
2026-08-30,Rennes,Le Mans,3,3,8,6,R Lissorgue
2026-08-30,Paris FC,Nice,0,1,2,4,J Stinat
2026-08-30,Monaco,Marseille,4,0,5,7,W Delajod
2026-08-29,Lyon,Le Havre,0,2,5,5,F Letexier
2026-08-29,Lorient,Troyes,0,0,2,5,A Souifi
2026-08-29,Brest,Toulouse,2,3,7,2,J Brisard
2026-08-29,Auxerre,Angers,3,2,7,10,H Ben El Hadj
2026-08-22,Troyes,Paris FC,2,1,6,2,M Bollengier
2026-08-22,Toulouse,Lyon,1,2,6,5,G Paradis
2026-08-23,Rennes,Paris SG,2,2,0,10,B Dechepy
2026-08-22,Nice,Lorient,1,0,9,3,R Lissorgue
2026-08-21,Marseille,Strasbourg,1,4,3,4,R Buquet
2026-08-22,Lens,Auxerre,1,2,4,7,M Vernice
2026-08-22,Le Mans,Brest,1,1,1,10,A Petit
2026-08-23,Le Havre,Monaco,3,2,7,4,J Pignard
2026-08-23,Angers,Lille,2,2,8,3,J Stinat
2025-08-17,Angers,Paris FC,3,1,3,7,F Letexier
2025-08-16,Monaco,Le Havre,0,1,5,4,R Buquet
2025-08-17,Auxerre,Lorient,3,2,4,4,A Kherradji
2025-08-17,Metz,Strasbourg,2,2,3,3,M Vernice
2025-08-17,Nantes,Paris SG,1,1,2,7,B Bastien
2025-08-16,Nice,Toulouse,2,3,9,4,T Léonard
2025-08-16,Lens,Lyon,2,3,12,8,R Lissorgue
2025-08-17,Brest,Lille,2,1,2,2,C Turpin
2025-08-15,Rennes,Marseille,3,3,1,12,J Pignard
2026-05-17,Lille,Auxerre,3,2,4,2,W Delajod
2026-05-17,Nice,Metz,2,1,10,4,J Pignard
2026-05-17,Marseille,Rennes,3,1,4,11,R Buquet
2026-05-17,Lyon,Lens,1,4,20,8,F Letexier
2026-05-17,Paris FC,Paris SG,2,1,3,3,G Paradis
2026-05-17,Strasbourg,Monaco,1,2,4,6,B Bastien
2026-05-17,Brest,Angers,1,1,6,3,M Vernice
2025-08-24,Le Havre,Lens,3,1,7,0,G Paradis
2025-08-24,Lille,Monaco,1,2,8,3,W Delajod
2025-08-24,Lorient,Rennes,6,2,3,2,J Brisard
2025-08-23,Nice,Auxerre,2,3,5,4,J Stinat
2025-08-23,Marseille,Paris FC,1,0,5,2,M Bollengier
2025-08-23,Lyon,Metz,0,2,4,3,E Wattellier
2025-08-22,Paris SG,Angers,0,0,12,0,H Ben El Hadj
2025-08-24,Strasbourg,Nantes,2,2,7,6,B Dechepy
2025-08-24,Toulouse,Brest,0,1,3,9,B Millot
