Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2025-05-17,Mainz,Leverkusen,2,6,8,3,T Reichel
2025-05-17,M'gladbach,VfL Wolfsburg,0,0,7,10,S Stegemann
2025-05-17,St. Pauli,VfL Bochum 1848,0,0,7,4,F Zwayer
2025-08-22,Bayern Munich,RB Leipzig,4,1,5,5,F Badstübner
2025-08-23,Ein Frankfurt,Werder Bremen,1,3,7,1,H Osmers
2025-09-13,Bayern Munich,Hamburg,2,2,5,3,T Stieler
2025-08-23,FC Heidenheim,VfL Wolfsburg,2,3,2,5,B Brand
2025-08-23,Union Berlin,Stuttgart,4,4,5,11,R Hartmann
2025-08-24,Mainz,FC Koln,1,2,8,3,T Stieler
2025-08-23,Leverkusen,Hoffenheim,0,4,6,4,D Siebert
2025-08-24,M'gladbach,Hamburg,2,1,7,6,S Stegemann
2025-08-23,St. Pauli,Dortmund,2,4,5,2,M Jöllenbeck
2025-08-23,Freiburg,Augsburg,4,5,5,5,F Zwayer
2025-08-31,FC Koln,Freiburg,2,1,3,5,T Reichel
2025-08-31,Dortmund,Union Berlin,0,0,4,6,D Schlager
2025-08-30,Augsburg,Bayern Munich,3,4,7,5,F Exner
2025-08-29,Hamburg,St. Pauli,4,3,2,5,C Dingert
2025-08-30,RB Leipzig,FC Heidenheim,2,5,4,3,F Willenborg
2025-08-30,Werder Bremen,Leverkusen,5,3,3,7,R Braun
2025-08-30,Hoffenheim,Ein Frankfurt,2,3,4,5,T Gerach
2025-08-30,Stuttgart,M'gladbach,2,1,6,10,Sven Jablonski
2025-08-31,VfL Wolfsburg,Mainz,4,5,3,10,S Storks
2025-09-13,FC Heidenheim,Dortmund,3,3,5,4,F Zwayer
2025-09-13,Union Berlin,Hoffenheim,1,1,9,2,T Welz
2025-09-13,Mainz,RB Leipzig,1,0,3,5,Sven Jablonski
2025-09-12,Leverkusen,Ein Frankfurt,7,3,4,8,D Aytekin
2025-09-14,M'gladbach,Werder Bremen,1,0,9,4,M Jöllenbeck
2025-09-14,St. Pauli,Augsburg,1,4,3,1,H Osmers
2025-09-13,Freiburg,Stuttgart,1,1,7,1,D Siebert
2025-09-13,VfL Wolfsburg,FC Koln,2,3,7,4,B Dankert
2025-09-21,Leverkusen,M'gladbach,5,5,3,4,F Zwayer
2025-09-21,Dortmund,VfL Wolfsburg,1,0,9,3,D Siebert
2025-09-21,Ein Frankfurt,Union Berlin,3,2,5,1,Sven Jablonski
