Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2025-01-18,Getafe,Barcelona,3,2,2,10,P González Fuertes
2025-01-20,Villarreal,Mallorca,1,3,6,5,J Munuera Montero
2025-01-19,Valencia,Sociedad,3,4,4,7,V García Verdura
2025-01-19,Real Madrid,Las Palmas,0,2,8,2,A Quintero González
2025-01-18,Betis,Alaves,5,5,2,3,A Hernández Hernández
2025-01-26,Ath Bilbao,Leganés,1,1,16,1,A Hernández Hernández
2025-01-25,Ath Madrid,Villarreal,4,2,5,6,J Sánchez Martínez
2025-01-26,Barcelona,Valencia,0,1,14,4,C Soto Grado
2025-01-24,Las Palmas,Osasuna,8,8,4,2,J Gil Manzano
2025-01-27,Alaves,Celta,2,3,3,4,F Hernández Maeso
2025-01-25,Mallorca,Betis,3,2,4,4,Javier Alberola Rojas
2025-01-26,Sociedad,Getafe,3,6,5,2,G Cuadra Fernández
2025-01-26,Vallecano,Girona,3,1,4,1,I Díaz de Mera Escuderos
2025-01-25,Real Valladolid,Real Madrid,4,3,1,7,M Busquets Ferrer
2025-01-25,Sevilla,Espanol,1,4,5,1,A Cordero Vega
2025-02-01,Ath Madrid,Mallorca,2,3,10,4,V García Verdura
2025-02-01,Getafe,Sevilla,4,6,6,5,R De Burgos Bengoetxea
2025-02-03,Girona,Las Palmas,2,3,11,3,M Melero López
2025-02-02,Osasuna,Sociedad,3,3,3,5,M Ortiz Arias
2025-02-01,Villarreal,Real Valladolid,1,2,3,6,I Díaz de Mera Escuderos
2025-01-31,Leganés,Vallecano,3,4,2,9,A Quintero González
2025-02-01,Espanol,Real Madrid,2,0,1,8,A Muñíz Ruiz
2025-02-02,Betis,Ath Bilbao,3,1,3,7,J Martínez Munuera
2025-02-02,Valencia,Celta,1,2,5,2,P González Fuertes
2025-02-02,Barcelona,Alaves,5,2,5,2,J Munuera Montero
2025-02-08,Ath Bilbao,Girona,0,4,11,2,J Sánchez Martínez
2025-02-10,Mallorca,Osasuna,1,4,7,11,A Cordero Vega
2025-02-07,Vallecano,Real Valladolid,2,2,4,2,J Gil Manzano
2025-02-08,Las Palmas,Villarreal,6,3,6,5,F Hernández Maeso
2025-02-09,Alaves,Getafe,2,6,8,3,I Díaz de Mera Escuderos
2025-02-08,Real Madrid,Ath Madrid,1,3,6,1,C Soto Grado
2025-02-09,Sevilla,Barcelona,5,3,5,6,A Hernández Hernández
2025-02-08,Celta,Betis,3,5,4,7,M Busquets Ferrer
2025-02-09,Valencia,Leganés,1,1,9,3,G Cuadra Fernández
2025-02-09,Sociedad,Espanol,1,2,6,0,Javier Alberola Rojas
2025-02-15,Ath Madrid,Celta,4,5,2,7,J Martínez Munuera
2025-02-17,Barcelona,Vallecano,2,3,4,5,M Melero López
2025-02-16,Betis,Sociedad,0,4,5,5,J Gil Manzano
2025-02-15,Osasuna,Real Madrid,3,2,6,2,J Munuera Montero
2025-02-16,Espanol,Ath Bilbao,1,1,2,7,G Cuadra Fernández
2025-02-14,Girona,Getafe,3,3,3,3,A Quintero González
2025-02-16,Real Valladolid,Sevilla,4,2,3,2,Javier Alberola Rojas
2025-02-15,Villarreal,Valencia,0,5,4,5,R De Burgos Bengoetxea
2025-02-16,Mallorca,Las Palmas,1,4,3,5,M Ortiz Arias
2025-02-15,Leganés,Alaves,5,5,3,2,P González Fuertes
2025-02-23,Ath Bilbao,Real Valladolid,2,4,4,4,C Soto Grado
2025-02-21,Celta,Osasuna,1,0,5,4,J Sánchez Martínez
2025-02-22,Vallecano,Villarreal,2,4,3,5,V García Verdura
2025-02-22,Alaves,Espanol,2,2,7,0,J Pulido Santana
2025-02-22,Valencia,Ath Madrid,1,3,7,0,M Busquets Ferrer
2025-02-22,Las Palmas,Barcelona,1,1,5,3,A Cordero Vega
2025-02-23,Getafe,Betis,4,1,2,5,Javier Alberola Rojas
2025-02-23,Real Madrid,Girona,0,2,11,5,G Cuadra Fernández
2025-02-24,Sevilla,Mallorca,1,3,4,4,A Muñíz Ruiz
2025-02-23,Sociedad,Leganés,3,3,3,3,F Hernández Maeso
2025-03-02,Barcelona,Sociedad,0,1,12,0,A Quintero González
2025-03-01,Betis,Real Madrid,3,4,9,2,A Hernández Hernández
2025-03-02,Osasuna,Valencia,2,1,3,3,M Melero López
2025-03-01,Vallecano,Sevilla,1,0,6,6,P González Fuertes
2025-03-01,Ath Madrid,Ath Bilbao,2,3,6,2,J Gil Manzano
2025-03-01,Girona,Celta,0,0,4,2,M Ortiz Arias
2025-03-02,Leganés,Getafe,1,1,2,6,A Muñíz Ruiz
2025-02-28,Real Valladolid,Las Palmas,2,2,13,4,R De Burgos Bengoetxea
2025-03-02,Mallorca,Alaves,0,2,3,9,C Soto Grado
2025-04-27,Villarreal,Espanol,4,0,8,6,J Munuera Montero
2025-03-09,Ath Bilbao,Mallorca,1,3,3,3,A Hernández Hernández
2025-03-27,Barcelona,Osasuna,1,3,8,4,M Busquets Ferrer
2025-03-09,Betis,Las Palmas,2,9,11,1,J Sánchez Martínez
2025-03-08,Celta,Leganés,3,2,2,5,I Díaz de Mera Escuderos
2025-03-09,Sociedad,Sevilla,2,1,6,3,V García Verdura
2025-03-08,Valencia,Real Valladolid,1,3,5,4,J Pulido Santana
2025-03-08,Alaves,Villarreal,6,1,1,6,M Ortiz Arias
2025-03-10,Espanol,Girona,3,3,4,9,A Cordero Vega
2025-03-09,Getafe,Ath Madrid,6,3,4,4,G Cuadra Fernández
2025-03-09,Real Madrid,Vallecano,3,1,4,6,F Hernández Maeso
2025-03-16,Ath Madrid,Barcelona,1,3,6,6,R De Burgos Bengoetxea
2025-03-15,Girona,Valencia,2,1,9,4,J Munuera Montero
2025-03-16,Vallecano,Sociedad,3,2,4,4,A Muñíz Ruiz
2025-03-16,Sevilla,Ath Bilbao,4,2,4,6,J Pulido Santana
2025-03-16,Leganés,Betis,2,0,3,7,C Soto Grado
2025-03-15,Real Valladolid,Celta,3,3,3,4,V García Verdura
2025-03-16,Osasuna,Getafe,2,5,3,2,A Hernández Hernández
2025-03-15,Villarreal,Real Madrid,2,1,11,4,J Gil Manzano
2025-03-14,Las Palmas,Alaves,5,4,4,5,M Melero López
2025-03-15,Mallorca,Espanol,0,2,6,2,A Quintero González
2025-03-30,Ath Bilbao,Osasuna,1,1,3,4,G Cuadra Fernández
2025-03-30,Barcelona,Girona,0,1,10,2,J Pulido Santana
2025-03-30,Betis,Sevilla,3,3,2,2,M Busquets Ferrer
2025-03-31,Celta,Las Palmas,3,0,4,2,J Martínez Munuera
2025-03-30,Getafe,Villarreal,1,4,3,1,I Díaz de Mera Escuderos
2025-03-29,Sociedad,Real Valladolid,2,3,3,6,A Cordero Vega
2025-03-29,Alaves,Vallecano,3,5,8,5,J Munuera Montero
2025-03-29,Espanol,Ath Madrid,2,1,4,3,Javier Alberola Rojas
2025-03-30,Valencia,Mallorca,4,4,4,5,F Hernández Maeso
2025-03-29,Real Madrid,Leganés,1,4,8,3,P González Fuertes
2025-04-05,Barcelona,Betis,2,1,9,3,J Gil Manzano
2025-04-05,Real Madrid,Valencia,0,4,9,4,G Cuadra Fernández
2025-04-06,Las Palmas,Sociedad,0,2,5,4,M Ortiz Arias
2025-04-07,Leganés,Osasuna,3,3,4,8,V García Verdura
2025-04-06,Villarreal,Ath Bilbao,1,1,6,5,M Melero López
2025-04-06,Sevilla,Ath Madrid,1,4,7,7,C Soto Grado
